,historial,memory,grupos,state_manager,algo,alpha,seed,train_mean,train_std,eval_mean,eval_std,eval_median,eval_p25,eval_p75,p_explorado
106,,5.0,5.0,stats_summary,SARSA,0.1,2,821.9475,173.06909817685536,823.0,0.0,823.0,823.0,823.0,0.536
107,,5.0,5.0,stats_summary,SARSA,0.1,3,821.827,172.5573645805939,1056.52,27.65302153472564,1053.0,1037.5,1076.5,0.536
108,,10.0,3.0,stats_summary,Q,0.01,1,803.905,164.01144159783487,927.0,0.0,927.0,927.0,927.0,0.7777777777777778
109,,10.0,3.0,stats_summary,Q,0.01,2,802.2785,163.63995214418148,927.0,0.0,927.0,927.0,927.0,0.7777777777777778
110,,10.0,3.0,stats_summary,Q,0.01,3,795.047,159.27254248928156,927.0,0.0,927.0,927.0,927.0,0.8148148148148148
111,,10.0,3.0,stats_summary,Q,0.05,1,829.372,171.81534162000784,916.0,0.0,916.0,916.0,916.0,0.8148148148148148
112,,10.0,3.0,stats_summary,Q,0.05,2,832.9645,172.122457104673,927.0,0.0,927.0,927.0,927.0,0.7777777777777778
113,,10.0,3.0,stats_summary,Q,0.05,3,830.2205,172.05312226097496,1151.84,20.74353875306718,1155.0,1139.0,1166.75,0.7777777777777778
114,,10.0,3.0,stats_summary,Q,0.1,1,846.032,174.79507709314927,737.0,0.0,737.0,737.0,737.0,0.8148148148148148
115,,10.0,3.0,stats_summary,Q,0.1,2,843.2135,176.43770265379788,927.0,0.0,927.0,927.0,927.0,0.7777777777777778
116,,10.0,3.0,stats_summary,Q,0.1,3,843.3215,175.18267362313546,916.0,0.0,916.0,916.0,916.0,0.8518518518518519
117,,10.0,3.0,stats_summary,SARSA,0.01,1,801.493,162.568637661143,927.0,0.0,927.0,927.0,927.0,0.8148148148148148
118,,10.0,3.0,stats_summary,SARSA,0.01,2,792.7895,158.93570772406684,916.0,0.0,916.0,916.0,916.0,0.8148148148148148
119,,10.0,3.0,stats_summary,SARSA,0.01,3,801.005,161.27255803452738,916.0,0.0,916.0,916.0,916.0,0.7777777777777778
120,,10.0,3.0,stats_summary,SARSA,0.05,1,827.628,170.69339359213643,832.08,0.5599999999999999,832.0,832.0,832.0,0.8518518518518519
121,,10.0,3.0,stats_summary,SARSA,0.05,2,826.109,173.32335422267826,736.0,0.0,736.0,736.0,736.0,0.8148148148148148
122,,10.0,3.0,stats_summary,SARSA,0.05,3,827.033,173.3255835443804,644.0,0.0,644.0,644.0,644.0,0.7777777777777778
123,,10.0,3.0,stats_summary,SARSA,0.1,1,838.865,175.57269085766157,916.0,0.0,916.0,916.0,916.0,0.7777777777777778
124,,10.0,3.0,stats_summary,SARSA,0.1,2,838.4225,174.3875568776339,926.0,0.0,926.0,926.0,926.0,0.7777777777777778
125,,10.0,3.0,stats_summary,SARSA,0.1,3,827.973,172.65568705084695,982.12,5.117186727099178,983.0,979.0,985.75,0.8148148148148148
126,,10.0,4.0,stats_summary,Q,0.01,1,791.1655,160.38547349978427,916.0,0.0,916.0,916.0,916.0,0.640625
127,,10.0,4.0,stats_summary,Q,0.01,2,797.5775,160.95207048606116,927.0,0.0,927.0,927.0,927.0,0.65625
128,,10.0,4.0,stats_summary,Q,0.01,3,785.457,157.2097107401448,916.0,0.0,916.0,916.0,916.0,0.65625
129,,10.0,4.0,stats_summary,Q,0.05,1,818.977,170.22071398922049,645.02,0.13999999999999999,645.0,645.0,645.0,0.625
130,,10.0,4.0,stats_summary,Q,0.05,2,823.3175,169.49584270344215,729.0,0.0,729.0,729.0,729.0,0.65625
131,,10.0,4.0,stats_summary,Q,0.05,3,817.605,171.26889085587027,828.0,0.0,828.0,828.0,828.0,0.625
132,,10.0,4.0,stats_summary,Q,0.1,1,832.013,174.92901654957075,916.0,0.0,916.0,916.0,916.0,0.625
133,,10.0,4.0,stats_summary,Q,0.1,2,827.677,172.36725231609395,643.04,0.19595917942265426,643.0,643.0,643.0,0.671875
134,,10.0,4.0,stats_summary,Q,0.1,3,830.5725,172.99254245125712,916.0,0.0,916.0,916.0,916.0,0.65625
135,,10.0,4.0,stats_summary,SARSA,0.01,1,795.5285,160.03285346374975,941.0,0.0,941.0,941.0,941.0,0.671875
136,,10.0,4.0,stats_summary,SARSA,0.01,2,794.4705,162.415772416813,916.0,0.0,916.0,916.0,916.0,0.65625
137,,10.0,4.0,stats_summary,SARSA,0.01,3,800.0875,161.7976292896469,916.0,0.0,916.0,916.0,916.0,0.640625
138,,10.0,4.0,stats_summary,SARSA,0.05,1,807.8455,166.43168757706567,556.0,0.0,556.0,556.0,556.0,0.65625
139,,10.0,4.0,stats_summary,SARSA,0.05,2,816.9665,169.76652313618843,916.0,0.0,916.0,916.0,916.0,0.625
140,,10.0,4.0,stats_summary,SARSA,0.05,3,807.5035,168.29633385118643,916.0,0.0,916.0,916.0,916.0,0.625
141,,10.0,4.0,stats_summary,SARSA,0.1,1,821.2845,172.66930983747517,944.28,5.2155153149041755,944.0,942.0,947.75,0.671875
142,,10.0,4.0,stats_summary,SARSA,0.1,2,827.8325,174.3382185401411,645.14,0.98,645.0,645.0,645.0,0.65625
143,,10.0,4.0,stats_summary,SARSA,0.1,3,821.1105,172.88211674360656,1111.06,38.288071249411345,1109.5,1080.0,1142.25,0.625
144,,10.0,5.0,stats_summary,Q,0.01,1,801.843,164.19206543252935,916.0,0.0,916.0,916.0,916.0,0.552
145,,10.0,5.0,stats_summary,Q,0.01,2,791.4715,161.63535253078146,916.0,0.0,916.0,916.0,916.0,0.56
146,,10.0,5.0,stats_summary,Q,0.01,3,795.3545,159.3091203596015,916.0,0.0,916.0,916.0,916.0,0.576
147,,10.0,5.0,stats_summary,Q,0.05,1,812.427,169.34796624406212,831.0,0.0,831.0,831.0,831.0,0.56
148,,10.0,5.0,stats_summary,Q,0.05,2,821.278,168.817436054455,914.0,0.0,914.0,914.0,914.0,0.552
149,,10.0,5.0,stats_summary,Q,0.05,3,812.4325,168.4325367728872,920.0,0.0,920.0,920.0,920.0,0.576
150,,10.0,5.0,stats_summary,Q,0.1,1,835.574,170.51414171264506,1103.68,23.860796298531195,1104.0,1086.25,1120.5,0.536
151,,10.0,5.0,stats_summary,Q,0.1,2,823.403,171.61875069758548,910.06,4.19718953586802,910.5,907.25,913.0,0.568
152,,10.0,5.0,stats_summary,Q,0.1,3,825.423,172.86952325670364,727.0,0.0,727.0,727.0,727.0,0.6
153,,10.0,5.0,stats_summary,SARSA,0.01,1,797.1585,161.80180894461594,916.0,0.0,916.0,916.0,916.0,0.52
154,,10.0,5.0,stats_summary,SARSA,0.01,2,791.8985,159.6053075488093,916.0,0.0,916.0,916.0,916.0,0.504
155,,10.0,5.0,stats_summary,SARSA,0.01,3,802.3665,164.7488336157498,916.0,0.0,916.0,916.0,916.0,0.576
156,,10.0,5.0,stats_summary,SARSA,0.05,1,818.7095,169.32135160619882,916.0,0.0,916.0,916.0,916.0,0.584
157,,10.0,5.0,stats_summary,SARSA,0.05,2,814.5785,168.37718324568206,916.0,0.0,916.0,916.0,916.0,0.544
158,,10.0,5.0,stats_summary,SARSA,0.05,3,804.368,167.52987965136248,753.0,0.0,753.0,753.0,753.0,0.584
159,,10.0,5.0,stats_summary,SARSA,0.1,1,822.3785,172.13451204726493,935.0,0.0,935.0,935.0,935.0,0.544
160,,10.0,5.0,stats_summary,SARSA,0.1,2,820.4925,171.96559232517998,827.0,0.0,827.0,827.0,827.0,0.584
161,,10.0,5.0,stats_summary,SARSA,0.1,3,820.817,172.18508504223007,916.0,0.0,916.0,916.0,916.0,0.544
162,,15.0,3.0,stats_summary,Q,0.01,1,801.13,164.98706343225822,832.0,0.0,832.0,832.0,832.0,0.8148148148148148
163,,15.0,3.0,stats_summary,Q,0.01,2,817.128,168.2532127954768,927.0,0.0,927.0,927.0,927.0,0.7777777777777778
164,,15.0,3.0,stats_summary,Q,0.01,3,807.6575,163.0111995960707,916.0,0.0,916.0,916.0,916.0,0.7777777777777778
165,,15.0,3.0,stats_summary,Q,0.05,1,830.6375,172.985623951096,566.16,0.783836717690617,566.0,566.0,566.0,0.8148148148148148
166,,15.0,3.0,stats_summary,Q,0.05,2,830.4725,171.07669696294116,916.0,0.0,916.0,916.0,916.0,0.8148148148148148
167,,15.0,3.0,stats_summary,Q,0.05,3,821.8905,173.17560598926744,934.0,0.0,934.0,934.0,934.0,0.8148148148148148
168,,15.0,3.0,stats_summary,Q,0.1,1,834.5495,175.0969147350975,916.0,0.0,916.0,916.0,916.0,0.8148148148148148
169,,15.0,3.0,stats_summary,Q,0.1,2,845.531,175.57056996831787,733.0,0.0,733.0,733.0,733.0,0.8148148148148148
170,,15.0,3.0,stats_summary,Q,0.1,3,836.4015,176.43572285041938,1163.82,9.264318647369594,1164.0,1158.0,1170.0,0.8148148148148148
171,,15.0,3.0,stats_summary,SARSA,0.01,1,794.965,159.1071675789623,916.0,0.0,916.0,916.0,916.0,0.7777777777777778
172,,15.0,3.0,stats_summary,SARSA,0.01,2,804.297,165.54872633457498,916.0,0.0,916.0,916.0,916.0,0.7777777777777778
173,,15.0,3.0,stats_summary,SARSA,0.01,3,792.154,158.89017680146247,916.0,0.0,916.0,916.0,916.0,0.7777777777777778
174,,15.0,3.0,stats_summary,SARSA,0.05,1,824.5935,169.74369578205253,733.0,0.0,733.0,733.0,733.0,0.7777777777777778
175,,15.0,3.0,stats_summary,SARSA,0.05,2,815.5505,169.91707521538262,916.0,0.0,916.0,916.0,916.0,0.7777777777777778
176,,15.0,3.0,stats_summary,SARSA,0.05,3,819.1915,167.66608729182536,791.5,5.303772242470448,793.0,789.0,794.0,0.7777777777777778
177,,15.0,3.0,stats_summary,SARSA,0.1,1,830.8475,174.7588717168602,738.0,0.0,738.0,738.0,738.0,0.8148148148148148
178,,15.0,3.0,stats_summary,SARSA,0.1,2,832.755,173.86455065653837,1156.88,16.52711711097855,1161.0,1145.25,1167.0,0.7777777777777778
179,,15.0,3.0,stats_summary,SARSA,0.1,3,833.345,174.47675769282282,916.0,0.0,916.0,916.0,916.0,0.8518518518518519
180,,15.0,4.0,stats_summary,Q,0.01,1,807.587,165.1562334003776,823.0,0.0,823.0,823.0,823.0,0.640625
181,,15.0,4.0,stats_summary,Q,0.01,2,798.11,160.07164614634286,916.0,0.0,916.0,916.0,916.0,0.640625
182,,15.0,4.0,stats_summary,Q,0.01,3,790.3045,158.43491969812084,916.0,0.0,916.0,916.0,916.0,0.65625
183,,15.0,4.0,stats_summary,Q,0.05,1,811.752,168.56447281678308,824.16,1.12,824.0,824.0,824.0,0.71875
184,,15.0,4.0,stats_summary,Q,0.05,2,814.749,168.4057718696126,916.0,0.0,916.0,916.0,916.0,0.671875
185,,15.0,4.0,stats_summary,Q,0.05,3,809.3485,167.84220282083407,916.0,0.0,916.0,916.0,916.0,0.65625
186,,15.0,4.0,stats_summary,Q,0.1,1,819.487,171.29219430843895,643.0,0.0,643.0,643.0,643.0,0.65625
187,,15.0,4.0,stats_summary,Q,0.1,2,831.1655,171.3533049280054,826.12,0.8400000000000001,826.0,826.0,826.0,0.6875
188,,15.0,4.0,stats_summary,Q,0.1,3,828.921,171.3231851180686,738.0,0.0,738.0,738.0,738.0,0.65625
189,,15.0,4.0,stats_summary,SARSA,0.01,1,803.3805,161.68066278856602,916.0,0.0,916.0,916.0,916.0,0.65625
190,,15.0,4.0,stats_summary,SARSA,0.01,2,796.3585,161.7065675158248,916.0,0.0,916.0,916.0,916.0,0.640625
191,,15.0,4.0,stats_summary,SARSA,0.01,3,796.651,162.79871989361587,743.0,0.0,743.0,743.0,743.0,0.640625
192,,15.0,4.0,stats_summary,SARSA,0.05,1,815.1035,169.48285986420572,916.0,0.0,916.0,916.0,916.0,0.625
193,,15.0,4.0,stats_summary,SARSA,0.05,2,804.9575,167.4751584377516,640.0,0.0,640.0,640.0,640.0,0.640625
194,,15.0,4.0,stats_summary,SARSA,0.05,3,812.568,168.2672706618848,916.0,0.0,916.0,916.0,916.0,0.625
195,,15.0,4.0,stats_summary,SARSA,0.1,1,823.1415,172.52893229180432,644.02,0.14,644.0,644.0,644.0,0.671875
196,,15.0,4.0,stats_summary,SARSA,0.1,2,821.3225,173.81203782750492,916.0,0.0,916.0,916.0,916.0,0.640625
197,,15.0,4.0,stats_summary,SARSA,0.1,3,825.03,173.32134057870658,822.02,0.13999999999999999,822.0,822.0,822.0,0.671875
198,,15.0,5.0,stats_summary,Q,0.01,1,793.983,161.10490281490505,916.0,0.0,916.0,916.0,916.0,0.552
199,,15.0,5.0,stats_summary,Q,0.01,2,794.0355,160.7663933779383,916.0,0.0,916.0,916.0,916.0,0.512
200,,15.0,5.0,stats_summary,Q,0.01,3,806.7875,163.84545567012228,916.0,0.0,916.0,916.0,916.0,0.528
201,,15.0,5.0,stats_summary,Q,0.05,1,806.275,166.37489706984044,1119.46,22.173145920234234,1119.5,1106.5,1133.75,0.584
202,,15.0,5.0,stats_summary,Q,0.05,2,809.9225,168.67316174706042,916.0,0.0,916.0,916.0,916.0,0.568
203,,15.0,5.0,stats_summary,Q,0.05,3,808.647,168.4356980898052,914.0,0.0,914.0,914.0,914.0,0.552
204,,15.0,5.0,stats_summary,Q,0.1,1,832.261,172.4109563774878,916.0,0.0,916.0,916.0,916.0,0.592
205,,15.0,5.0,stats_summary,Q,0.1,2,827.778,172.92565372436792,641.0,0.0,641.0,641.0,641.0,0.528
206,,15.0,5.0,stats_summary,Q,0.1,3,819.1695,171.25552478606346,535.0,0.0,535.0,535.0,535.0,0.56
207,,15.0,5.0,stats_summary,SARSA,0.01,1,796.3655,163.8916255021897,916.0,0.0,916.0,916.0,916.0,0.576
208,,15.0,5.0,stats_summary,SARSA,0.01,2,789.314,158.01590237694433,916.0,0.0,916.0,916.0,916.0,0.536
209,,15.0,5.0,stats_summary,SARSA,0.01,3,786.148,156.80556462064732,916.0,0.0,916.0,916.0,916.0,0.536
210,,15.0,5.0,stats_summary,SARSA,0.05,1,807.38,168.48252312925516,916.0,0.0,916.0,916.0,916.0,0.608
211,,15.0,5.0,stats_summary,SARSA,0.05,2,805.504,165.61017777902418,916.0,0.0,916.0,916.0,916.0,0.56
212,,15.0,5.0,stats_summary,SARSA,0.05,3,809.02,168.2777127251259,916.0,0.0,916.0,916.0,916.0,0.536
213,,15.0,5.0,stats_summary,SARSA,0.1,1,825.11,172.49879390882708,916.0,0.0,916.0,916.0,916.0,0.544
214,,15.0,5.0,stats_summary,SARSA,0.1,2,824.3145,173.66244438493314,916.0,0.0,916.0,916.0,916.0,0.552
215,,15.0,5.0,stats_summary,SARSA,0.1,3,824.4735,173.29443816161557,1015.52,6.472217548877665,1016.0,1012.0,1021.0,0.568
